"","Malignant","B cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","T cell"
"C3N-03876",0.679879977591776,0.0264429866683317,0.00617364465525639,0.127592937369598,0.149839973146086,0.0085693063144745,0.000691808009455969,0.000809366245020524
"C3N-03620",0.394627780710351,0.00343164037527835,0.0585757278164296,0.158084269882515,0.259311322010732,0.0374961676520478,0.00438429235277012,0.0840887991998761
"C3N-00295",0.706969046229399,0.00355918395250429,0.0153260040814449,0.172769601044531,0.0842267048425019,0.0113081486452203,0.000185744600664035,0.0056555666037354
"C3N-00857",0.710178278259269,7.40139827920045e-08,0.00310241555788586,0.0732684348584476,0.20631378188415,0.00711144987782721,2.21328649751446e-05,3.43268346245708e-06
"C3N-00825",0.395199729707973,0.0134508384469034,0.0480109910256759,0.205460393165696,0.249766101549394,0.0433310700548664,0.000800124776370297,0.0439807512731214
"C3N-01337",0.666224565798623,1.32161431384081e-07,0.0166217937442357,0.240735224153906,0.0652253687752983,0.00325471708880275,0.00140597942933661,0.00653221884836632
"C3N-00204",0.649531383704204,0.000997770690030195,0.0675058771155912,0.203080553910362,0.0212423257551701,0.00480819188518769,0.00246335215907942,0.0503705447803748
"C3N-03013",0.531823098612227,4.07250717415123e-05,0.0291135613191253,0.176059834092837,0.240273025253985,0.0072262340760761,0.000655111946473926,0.0148084096275343
"C3N-03888",0.680764317090105,0.0056141119658335,0.0299343555943823,0.181944238117334,0.070307513952588,0.0121516232969553,0.00118965877675415,0.018094181206047
"C3N-03457",0.162968537245377,0.0767673138744544,0.0421687197136539,0.180338341992129,0.452557161315264,0.0447705170157196,0.00075066220262272,0.0396787466407807
"C3N-03928",0.91179660296072,6.47029828489408e-06,0.00685372548541188,0.0227933149257178,0.031710642700392,0.0122532024804893,0.00294876152806704,0.0116372796209178
"C3N-01645",0.458956810775677,0.0252353270098081,0.0285225624000663,0.211274385617967,0.161278655972988,0.0869421919005357,0.000161639030722769,0.0276284272922356
"C3N-00307",0.336331860060125,0.015107206515189,0.0302389143600737,0.222259775283731,0.357419897511542,0.0277250102352546,0.000477183109343444,0.0104401529247426
"C3N-01339",0.771253346796469,0.00242459103202045,0.0136849543952589,0.176505834329657,0.0256960142294606,0.0052888767047181,0.000311498614928897,0.00483488389748751
"C3N-00306",0.500321785279444,0.0397718227551133,0.0110568277718387,0.21955497210918,0.12060862219546,0.0911569274865213,0.000714095862125825,0.0168149465403177
"C3L-03378",0.591835799268732,0.016015372879281,0.0238189271213908,0.15593006446098,0.168252620702016,0.031033862876026,0.000112209215282845,0.013001143476292
"C3N-01340",0.448397178722644,0.0163017105683533,0.0140930756833285,0.156214672535079,0.300683253438905,0.058023282043084,0.000649450347628704,0.00563737666097727
"C3N-04280",0.794265897578063,4.25770726347052e-07,0.00672193263676166,0.0965794845518808,0.0941969409722249,4.57042300292271e-07,0.00146703581289819,0.00676782563514465
"C3N-03042",0.621714549048687,0.00712727012439602,0.0113384680577233,0.165047027239301,0.185660190988435,0.00352778680523472,0.000310882474425564,0.0052738252617969
"C3N-03027",0.626564135565943,0.0747572678421209,0.0334803939491962,0.16589237240987,0.0603544869976393,0.0169947261818708,0.000748533411862686,0.0212080836414969
"C3N-03226",0.558071566073529,0.0216805735824755,0.027796865411676,0.149776214947101,0.186038133031554,0.041009275291859,0.000522725315056955,0.0151046463467484
"C3L-00994",0.273398140183274,0.011410507741646,0.0269401931768801,0.156299420770161,0.480449832908239,0.0394786123278181,0.000161588407589167,0.0118617044843929
"C3L-04844",0.724787898033882,0.000763437621554376,0.00991723274281938,0.120091072219616,0.119782352559708,0.0206198433793599,5.42818709519069e-05,0.00398388157210927
"C3N-03458",0.781981793541195,0.00615085995492583,0.0113637823502957,0.0897150678555126,0.0857838283162574,0.0201365714556077,0.000290167113705969,0.00457792941249936
"C3N-03782",0.749229326989682,0.000673702680752756,0.00738477741828125,0.0910365534788836,0.144881671589682,0.00477423951864811,0.000393727452459382,0.00162600087161027
"C3N-04275",0.569434495634584,0.0473383679020664,0.0297709247889015,0.15819114354867,0.131177879681341,0.027041463126415,0.00264199134903549,0.0344037339689866
"C3N-01643",0.770576144158487,0.00268427377473799,6.78592955660915e-06,0.145128434684329,0.0537419916934273,0.0271501286244079,0.000710694917490253,1.54621756303038e-06
"C3N-03837",0.777773708771893,0.00325186927017468,0.0152543238885653,0.0993274100488464,0.0463327155383326,0.0426619196045983,0.000879432404230211,0.0145186204733599
"C3N-02333",0.498700393958841,0.0785849979925637,0.023118490792081,0.1630121664435,0.145770098347977,0.0516103982532323,0.000371957975597443,0.038831496236208
"C3L-02651",0.505429345154434,0.00707869220830895,0.0264782202844283,0.181140405875196,0.171054339527774,0.0642987703876736,0.000315892898900953,0.0442043336632841
"C3L-04025",0.449558971250333,0.167086133500954,0.0256860474065784,0.22403592248405,0.104319325988143,0.0147707485203984,0.000545640666596667,0.013997210182946
