source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Mast,Macrophage,COL4A5,CD44,5.7972054,1.0,16.568108,-0.03438793445815358,-1.6950201437700607,0.008703013,0.4907637,1.0,0.4145681537369701
B cell,Fibroblast,HLA-DPB1,CD4,5.630333,1.0,31.420662,-0.29439118693245786,-2.8208659404110734,0.013066947,0.5702923,1.0,0.41459228990974173
Malignant,T cell,WNT11,FZD2,2.1260989,1.0,4.4211354,-0.7316639205298651,-2.1515581227457794,0.007852501,0.33236876,1.0,0.4146019076607148
B cell,Dendritic,COL4A6,CD47,4.6765003,0.0,16.569185,0.2774485406255588,-0.7070125177770288,0.015554292,0.4907718,0.10712672942685593,0.41460858980915394
Dendritic,Dendritic,SPON2,ITGA4,5.6296425,0.0,31.153429,0.7858987647074696,-0.14489641532733621,0.025800774,0.56924534,0.02113403294930672,0.41464640742827885
Fibroblast,Mast,HLA-C,CD8A,5.4870524,1.0,15.464173,-0.5881450621793053,-3.8782684466590225,0.0061904937,0.48215103,1.0,0.41464888510632036
B cell,Endothelial,WNT5A,MCAM,5.162101,0.0,16.5709,0.7442976330121961,0.4444106357110962,0.019429505,0.4907848,0.02113403294930672,0.41468932642782286
Endothelial,Macrophage,TNFSF13,TNFRSF14,4.3174057,0.0,15.58572,0.3984013352492312,-0.5043372897306857,0.015206056,0.4831285,0.12751383019725424,0.41468932642782286
Dendritic,Malignant,COL4A5,SDC1,5.4779367,0.0,15.463885,0.2626774872917299,-0.23554319196591456,0.012233025,0.4821487,0.4348169088876101,0.41468932642782286
T cell,B cell,SEMA4D,PLXNB2,5.6294956,1.0,28.925795,0.21103357090570407,-1.4700121384288964,0.012564753,0.5601271,1.0,0.4147004796288285
Macrophage,Mast,LGI3,FLOT1,4.712659,0.0,16.573317,0.7039101205198803,0.5316707178661984,0.021330133,0.490803,0.02113403294930672,0.4147296269558628
