gene,xcorr,resolvability
ADRB2,0.5491467341780663,0.45085326582193375
ADRM1,0.2911250793508121,0.7088749206491879
ADSL,0.43395930661686827,0.5660406933831317
ADSS1,0.5629528441599437,0.43704715584005627
ADSS2,0.37538304685481955,0.6246169531451804
AEBP1,0.46478656360081266,0.5352134363991874
AEBP2,0.41377922227340086,0.5862207777265991
AEN,0.3070586746824639,0.692941325317536
AFAP1L2,0.41132028374288765,0.5886797162571124
AFDN,0.37818122415670324,0.6218187758432967
AFF1,0.40346740266042097,0.596532597339579
AFF4,0.4004577124225242,0.5995422875774759
AFG3L2,0.3880580206002508,0.6119419793997491
AFMID,0.4257777806903635,0.5742222193096365
AFTPH,0.3161101048587755,0.6838898951412244
AGA,0.3146717170519488,0.6853282829480511
AGAP1,0.5098383453275476,0.49016165467245243
AGAP2,0.42334624220217976,0.5766537577978202
AGAP3,0.27798176290733473,0.7220182370926653
AGAP4,0.5596362086279052,0.4403637913720948
AGAP9,0.5625227593949863,0.4374772406050137
AGBL5,0.4084045785878386,0.5915954214121615
AGFG1,0.3266379177304251,0.673362082269575
AGFG2,0.42518105717109783,0.5748189428289021
AGGF1,0.362364033769284,0.6376359662307161
AGK,0.36507864722183775,0.6349213527781623
AGL,0.4365756256239755,0.5634243743760246
AGMAT,0.5048591276364667,0.4951408723635333
AGO1,0.40574601478874683,0.5942539852112532
AGO2,0.3533521576651505,0.6466478423348495
AGO3,0.3459706160106829,0.6540293839893171
AGO4,0.42414937753762516,0.5758506224623748
AGPAT1,0.33952581762735334,0.6604741823726467
AGPAT2,0.4069319790495293,0.5930680209504706
AGPAT3,0.4143219015427998,0.5856780984572002
AGPAT4,0.4076234112892832,0.5923765887107169
AGPAT5,0.42405504307576586,0.5759449569242341
AGPS,0.323388668309365,0.676611331690635
AGR2,0.7325243673154286,0.2674756326845714
AGRN,0.4197196907230786,0.5802803092769214
AGTPBP1,0.3743289187550545,0.6256710812449455
AGTRAP,0.3464934200580631,0.6535065799419368
AHCTF1,0.3748447916337422,0.6251552083662578
AHCY,0.37555108315843555,0.6244489168415644
AHCYL1,0.2822438078666372,0.7177561921333628
AHCYL2,0.4298589320055076,0.5701410679944924
AHDC1,0.36346629953810144,0.6365337004618985
AHI1,0.4593350259321077,0.5406649740678924
AHNAK,0.6380037271550724,0.36199627284492764
AHNAK2,0.4484339210071734,0.5515660789928266
AHR,0.38825819907443865,0.6117418009255613
AHSA1,0.3317392263561487,0.6682607736438513
AIDA,0.353449139211859,0.646550860788141
AIF1,0.3611993496971471,0.6388006503028529
AIF1L,0.43702324107289314,0.5629767589271069
AIFM1,0.359631051708545,0.640368948291455
AIFM2,0.4904781500143664,0.5095218499856335
AIG1,0.2919948190350884,0.7080051809649116
AIMP1,0.3051799149917705,0.6948200850082296
AIMP2,0.37411137231226477,0.6258886276877352
AIP,0.34537593834102154,0.6546240616589785
AJM1,0.6221825725265911,0.37781742747340885
AJUBA,0.4016217639935868,0.5983782360064132
AK1,0.4917316154709884,0.5082683845290116
AK2,0.33432589418121744,0.6656741058187825
AK3,0.4349736161530018,0.5650263838469982
AK6,0.3610312430454152,0.6389687569545848
AK9,0.5028182182993207,0.4971817817006793
AKAP1,0.46675353816577364,0.5332464618342263
AKAP10,0.2934283024764487,0.7065716975235513
AKAP11,0.38023834409458296,0.6197616559054171
AKAP13,0.44206492762480465,0.5579350723751954
AKAP17A,0.38665945136121344,0.6133405486387866
AKAP5,0.639933460525104,0.360066539474896
AKAP6,0.5959091899650437,0.4040908100349563
AKAP7,0.5995178137506757,0.4004821862493243
AKAP8,0.35266110287713154,0.6473388971228684
AKAP8L,0.3681894639240844,0.6318105360759156
AKAP9,0.4280814863741398,0.5719185136258602
AKIP1,0.37950947268732954,0.6204905273126704
AKIRIN1,0.3109273851982185,0.6890726148017815
AKIRIN2,0.27826398210267406,0.721736017897326
AKNA,0.4856316053441593,0.5143683946558407
AKR1A1,0.3763805875288589,0.6236194124711412
AKR1B1,0.4365274030715227,0.5634725969284773
AKR1B15,0.46756385772355963,0.5324361422764403
AKR7A2,0.29739758039691616,0.7026024196030838
AKT1,0.3234057719154017,0.6765942280845982
AKT1S1,0.2982650234230927,0.7017349765769073
AKT2,0.3057186167154993,0.6942813832845007
AKT3,0.5047186240553856,0.4952813759446144
AKTIP,0.32047984695860315,0.6795201530413968
ALAD,0.3810817711055279,0.6189182288944721
ALAS1,0.27392291693416027,0.7260770830658397
ALCAM,0.5467195356530803,0.4532804643469197
ALDH16A1,0.44871049746870995,0.55128950253129
ALDH18A1,0.3482480426984174,0.6517519573015826
ALDH1A1,0.7698644016470227,0.23013559835297726
ALDH1B1,0.49368898038353237,0.5063110196164676
ALDH2,0.5237038454839161,0.47629615451608387
ALDH3A2,0.41620188392698765,0.5837981160730124
ALDH3B1,0.395146074970918,0.604853925029082
ALDH3B2,0.4357090768005167,0.5642909231994833
ALDH4A1,0.3280297935541187,0.6719702064458812
ALDH5A1,0.5982623366372926,0.40173766336270744
ALDH6A1,0.5273736896259444,0.47262631037405556
ALDH9A1,0.43715390988758634,0.5628460901124137
ALDOA,0.3683952981872218,0.6316047018127782
ALDOC,0.5025174963687148,0.4974825036312852
ALG1,0.29085024489488986,0.7091497551051101
ALG10,0.4576048084667751,0.5423951915332249
ALG11,0.36496034397610594,0.635039656023894
ALG12,0.35326859328363625,0.6467314067163638
ALG13,0.2931713169174535,0.7068286830825465
ALG14,0.33868632142964217,0.6613136785703578
ALG2,0.3041138317702072,0.6958861682297928
ALG3,0.3489673150969403,0.6510326849030597
ALG5,0.29665104186694535,0.7033489581330546
ALG6,0.39431474623935564,0.6056852537606443
ALG8,0.35930629606757847,0.6406937039324215
ALG9,0.3410409526633365,0.6589590473366636
ALK,0.5325870934341635,0.46741290656583645
ALKBH1,0.3421488237966384,0.6578511762033616
ALKBH2,0.47647716637168613,0.5235228336283139
ALKBH3,0.33188518243176596,0.6681148175682341
ALKBH4,0.40805144102445673,0.5919485589755433
ALKBH5,0.2780658053816296,0.7219341946183704
ALKBH6,0.574615436473063,0.425384563526937
ALKBH7,0.44161846009748323,0.5583815399025167
ALKBH8,0.39402448518999983,0.6059755148100001
ALMS1,0.47057830835027353,0.5294216916497265
ALOX12B,0.6087986741747174,0.39120132582528255
ALOX5,0.5307627852473941,0.46923721475260594
ALOX5AP,0.47983067855238914,0.5201693214476109
ALOXE3,0.516343896410295,0.483656103589705
ALPK1,0.4196934431259121,0.5803065568740879
ALPK2,0.5457722353083747,0.4542277646916253
ALPK3,0.7091281924928937,0.2908718075071063
ALS2,0.3594065989766802,0.6405934010233199
ALS2CL,0.40494754830641405,0.595052451693586
ALYREF,0.3705513631658895,0.6294486368341106
AMBRA1,0.32887171927307335,0.6711282807269267
AMD1,0.33137432425948127,0.6686256757405187
AMDHD2,0.39972312429121565,0.6002768757087844
AMER1,0.5148399035845485,0.48516009641545155
AMFR,0.2555146250940327,0.7444853749059672
AMIGO2,0.5121756552585534,0.48782434474144665
AMMECR1,0.37071099584656103,0.6292890041534389
AMMECR1L,0.29384300518514855,0.7061569948148514
AMN1,0.38718936485903604,0.6128106351409639
AMOT,0.746787351156984,0.253212648843016
AMOTL1,0.3897014885608639,0.6102985114391362
AMPD1,0.7252031351838794,0.27479686481612065
AMPD2,0.2571237963025591,0.7428762036974409
AMPD3,0.4061410616018942,0.5938589383981058
AMT,0.5772126519254276,0.4227873480745724
AMTN,0.6996098341686385,0.30039016583136147
AMZ1,0.5821353580270495,0.4178646419729505
AMZ2,0.30720824828105314,0.6927917517189468
ANAPC1,0.41473143600991796,0.5852685639900821
ANAPC10,0.4272082168608904,0.5727917831391096
ANAPC11,0.3599934200091021,0.6400065799908978
ANAPC13,0.3171222268470696,0.6828777731529304
ANAPC15,0.3796084275735276,0.6203915724264724
ANAPC16,0.33351957478693556,0.6664804252130645
ANAPC2,0.36202953276889666,0.6379704672311033
ANAPC4,0.3576253743043968,0.6423746256956032
ANAPC5,0.3408833686262369,0.6591166313737631
ANAPC7,0.4008556543184178,0.5991443456815821
ANGEL2,0.4535713118634054,0.5464286881365946
ANGPT2,0.38460664733845207,0.6153933526615479
ANK3,0.5417585729488305,0.45824142705116955
ANKAR,0.498559657484293,0.501440342515707
ANKFY1,0.4060776946800096,0.5939223053199905
ANKH,0.4166697194533689,0.5833302805466312
ANKHD1,0.4897536640720708,0.5102463359279292
ANKIB1,0.3743672189967973,0.6256327810032027
ANKLE2,0.3013751850064312,0.6986248149935688
ANKMY1,0.46919076942971777,0.5308092305702823
ANKMY2,0.39958323298820425,0.6004167670117957
ANKRA2,0.4604740334408624,0.5395259665591376
ANKRD1,0.6257739173514503,0.37422608264854973
ANKRD10,0.40754833604608265,0.5924516639539174
ANKRD11,0.361098945673023,0.6389010543269771
ANKRD12,0.3928749811436449,0.6071250188563551
ANKRD13A,0.31309826645467964,0.6869017335453204
ANKRD13C,0.3071679385112865,0.6928320614887136
ANKRD13D,0.33553176572812454,0.6644682342718755
ANKRD17,0.3929325203810419,0.6070674796189581
ANKRD23,0.6236039985503469,0.37639600144965313
ANKRD26,0.44917825928756167,0.5508217407124383
ANKRD27,0.3304177676992757,0.6695822323007243
ANKRD28,0.41568151036543505,0.584318489634565
ANKRD29,0.5721758039934295,0.4278241960065705
ANKRD33B,0.6176408220614705,0.38235917793852947
ANKRD35,0.5648580842784473,0.4351419157215527
ANKRD36,0.5649876637118203,0.4350123362881797
ANKRD36B,0.5679717713168689,0.43202822868313107
ANKRD36C,0.6654271259903908,0.3345728740096092
ANKRD37,0.4850000717810222,0.5149999282189778
ANKRD39,0.45406786245959146,0.5459321375404085
ANKRD40,0.34863970136003836,0.6513602986399616
ANKRD42,0.35695951990783215,0.6430404800921679
ANKRD44,0.5023298455136163,0.49767015448638374
ANKRD46,0.39895572047680616,0.6010442795231938
