,0
GLT8D2,0.6561781986432591
ASPN,0.6556151062148875
BCL2A1,0.6555562752068884
SEPTIN6,0.6538855971767955
APBB1IP,0.6534372813209556
SLC7A7,0.6533365872599703
RASA3,0.652654604244122
VMO1,0.652627293774601
NCF1,0.6525670747625022
SIT1,0.6510644319410297
FERMT3,0.6505980973606327
PLEKHO2,0.6501988424755734
EPDR1,0.6498439138873922
CRTAM,0.6497960518788677
IGHV2-5,0.649752539768165
CPQ,0.6496898213411485
SOCS5,0.6494679960228691
KLRC4,0.649044903058445
FBXL7,0.6487839470561357
CLEC2D,0.6486541940953603
LAMC1,0.648197136482302
EOMES,0.6471928599492324
SAMHD1,0.6468811219334987
WIPF1,0.6465050502960712
IFNG-AS1,0.6464569085704941
CD83,0.6462704963030741
HTRA3,0.6460758178572185
SLC35G2,0.6453511028712362
IGHV3-33,0.6436048011038602
ATP8A1,0.6435308047550583
FYB1,0.6428190497658381
TMEM156,0.6426852879498409
EFEMP2,0.6425563320864442
CALHM5,0.6423831573312513
FMNL1,0.6416885762868134
THBS1,0.6416239841348808
C1orf162,0.6411546755334274
VAV1,0.6410979525978528
PPM1K,0.6410763317604012
SCML4,0.6404024765537707
LILRB4,0.6402018903246941
COLEC12,0.6401948266702621
MS4A4A,0.6401169892161296
TAGLN,0.6394188219333474
IGHV1-58,0.6392710945163638
BGN,0.6390379255793176
IGHV4-4,0.6386887784870282
IGHV3-53,0.6385187896819864
DDR2,0.6380087853525956
TRAV8-2,0.637399716444094
LTBP2,0.6372620379549109
KCNJ8,0.6371953094172528
ARHGAP9,0.6371412620762307
LCP1,0.6367864669280578
IGKV2D-29,0.6365416570438918
IGHG3,0.6359317975614971
CCN2,0.6357755284278407
STAT4,0.6353370069359489
MEF2C,0.6353340833455567
CYTH4,0.6351530428382338
HEPH,0.6350566496681707
SLCO1A2,0.6350037630493122
FAM30A,0.634737798280239
CTSZ,0.6344628170924478
OLFML1,0.634180270051909
FGL2,0.6337812897019466
ITGAX,0.6336340597858594
TRGC2,0.6324264631294227
RHOH,0.6323461587700199
THY1,0.6319753476226739
CLMP,0.6319238459671278
GBP4,0.6318645102047535
TGFBR2,0.6316118185197306
LILRB5,0.6304557900653789
SYT11,0.6300867252939351
AKNA,0.6300679496697679
PLXNC1,0.6300217328253829
IGKV2-24,0.6296779747190011
SPI1,0.6295356388190109
SIGLEC7,0.628357086651052
CCR4,0.6281905939850612
P2RX1,0.6280797183172045
LAMB1,0.6278987571526246
IGHV3-43,0.6277384816866356
LINC00892,0.627650731013621
GPR183,0.627474699932898
HLA-DRB1,0.6273705529873274
CYS1,0.6269597802368689
EMILIN1,0.6264485155055058
FERMT2,0.6262411105510473
LGALS9,0.6262045803331575
ACP5,0.6260673763901626
KCNA3,0.6259467993979588
TRPV2,0.6256830390608361
RCAN2,0.6252025342272644
SNRK,0.6251498512146727
ARHGAP25,0.6247934310587518
RAB31,0.6247241390054569
SERPINF1,0.6243052171715516
NKG7,0.623700276203247
NUGGC,0.6231620772697076
FAM171B,0.6230490822190176
SELL,0.6230230906353842
BMPR2,0.6225569968544885
LILRB3,0.6220567756140355
GLIPR2,0.62186751167535
SRGN,0.6216250532414409
IGLC3,0.621519590135758
SGCD,0.6214801251672194
IFI30,0.6208234121534548
FGD2,0.6207640230813491
IGLV5-45,0.6207032678918336
IGHV3-66,0.6206962693535844
KLHL23,0.620628163566914
KIF18B,0.6203049688618135
IGLV7-43,0.6202484702207354
PODXL,0.6199660049170513
TENT5C,0.6193269605245606
TBXAS1,0.6192711144863551
PALM2AKAP2,0.6190354394635466
GNLY,0.6182930808507241
HMCN1,0.6180451497387166
HCLS1,0.61776361552751
IGSF6,0.6174426324978884
IKZF3,0.617335042197866
TRG-AS1,0.617027011386538
IGHGP,0.6166199143304277
NID1,0.6160780421966767
TREM2,0.6159277195601532
PECAM1,0.6155080625770318
RGCC,0.6154271714548676
PRF1,0.6152772318301944
DNM3OS,0.615194934017232
ADAM19,0.6150818162989099
MTARC1,0.614342564657502
SKAP1,0.614321004537024
SP140,0.614142876693145
S100B,0.6139813013614255
MPP1,0.6136454669528418
GAS1,0.6133454993451908
NRROS,0.6132632064661955
PIM2,0.6124324457673117
FCRL2,0.6117352003238259
LHFPL2,0.6114372002226593
LY9,0.6113391809842011
FKBP10,0.6110518676172562
RCN3,0.6110341880933847
ADGRG5,0.6108496495020229
F2R,0.6107126885283086
CD4,0.610427419187598
N4BP2L1,0.6103199526888257
TRAF1,0.610293048344595
CSF2RB,0.6100878248061872
JAK2,0.6100727639046987
FNDC3B,0.6095999088464029
SIGLEC12,0.6085229880638143
ANGPT2,0.6084571205075054
IGLV1-51,0.6084238158964922
CYSLTR1,0.6083929130562097
UBE2J1,0.6083479069611416
NAP1L3,0.6079931795879367
LINC01943,0.6073581396268654
TWIST1,0.6070990749991678
PLPP1,0.6069182021755581
APBB2,0.6068805826978749
RGS1,0.6068651852982819
FCRL5,0.6062768166700951
IGLV3-16,0.6060897593392113
CD7,0.6059703212139315
IGHV4-59,0.604998981134759
CRCT1,0.6048991815104254
KCTD12,0.6048747979220264
CELF2,0.6046432154607827
WAS,0.6045485697654904
JAK3,0.603969724186565
SPOCK2,0.6034391742813411
STARD13,0.6030684912521974
TRBC1,0.6023286146702101
DLC1,0.6022687257360272
IL6ST,0.602058659690593
CD37,0.6020572727391399
CASP5,0.6020093118509117
FCRL6,0.6019075077020234
CERCAM,0.6015274398219334
PZP,0.6013802503122594
FCGR3B,0.601086296044713
CALHM6,0.6006118768871243
IL3RA,0.600386270319898
FKBP7,0.599629850754674
CD226,0.5995977680262607
RNF213,0.5995925339828552
CMTM3,0.5995307289522659
ATP2A3,0.5986753585435131
PDE4B,0.598443434147597
IL18RAP,0.5983572046204734
PICALM,0.5980881035850065
COTL1,0.5974829480643836
FUCA1,0.5973614787722941
LINC00861,0.5969796352188455
PIK3R5,0.5965986127349904
ST3GAL2,0.5964918994985363
MIR223HG,0.5963661660752557
CCL4L2,0.5963273031693306
NCF2,0.5963075651173042
SFRP4,0.5960694116922061
THEMIS,0.5950359887893082
