,Malignant,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell
ABCC5,0.2601729441571173,0.1818550650845017,0.04316852526000072,0.2583603695318316,0.2552770267840921,0.04313716021850253,0.045470907513830164,0.24503081095944299
ABCC6,0.23535640676516922,0.44338961188362613,0.17561319560166055,0.27320069988337964,0.36872703442021204,0.11059412776408512,0.11600177066360373,0.22534279490324027
ABCD1,0.2708148534632064,0.26573838079788414,0.10381535889997558,0.24095687529452728,0.2508652503469105,0.12687868515780515,0.05882977087448674,0.29102550872443594
ABCD3,0.26256309478249296,0.20987444022171542,0.17341401049424968,0.26230049512127596,0.25967101182735014,0.12386154350930809,0.1338809617441811,0.24405171288981428
ABCD4,0.28897373975745916,0.215086941945413,0.17001428343437805,0.2872510102828722,0.2873041938585884,0.0998040903911797,0.14563147639971805,0.3044769934020264
ABCE1,0.19066201856253048,0.17665385329075176,0.05385984674294853,0.1898233748874456,0.18890022800338355,0.13528655669971792,0.06373742022622889,0.18077047352790676
ABCF1,0.18868556236733744,0.16194359596919206,0.09943668362821637,0.18795232688515698,0.19109947091588136,0.06883969875634288,0.04429769746325898,0.12766323191188417
ABCF2,0.2970145392251998,0.21535747007491604,0.11339434109469627,0.30014421315309675,0.29440701855084117,0.14042504995675376,0.08341719799144348,0.2370912787116173
ABCF3,0.2779991752091202,0.1841350766697434,0.08385627004834473,0.2760994555814291,0.27774553864784646,0.13269820983138486,0.07157584346422095,0.24830321556898152
ABCG1,0.15839389542395363,0.20857421820244407,0.09831684572880599,0.16676742513185763,0.1369884423646328,0.1451723992217399,0.07075858606991033,0.1704292689736412
ABCG4,0.28066721044917253,0.28466151123500644,0.27907980262875287,0.34187356899025045,0.3099841810080427,0.16407144303232093,0.15673892218245583,0.161057878059558
ABHD10,0.2643075883110283,0.22847199702834955,0.04366550602822429,0.2652079151802881,0.2634065852507937,0.14232913979674308,0.06418092089330373,0.26575796864505014
ABHD11,0.3679453272859931,0.21580938110785228,0.007407445224852302,0.3052991368153922,0.31077410709580316,0.0450756382152469,0.060465693667417504,0.298047821126678
